guest_key,guest_id,full_name,nationality,lifetime_bookings,lifetime_spend,first_stay_date,last_stay_date
84059002978907437,84059002978907437,,DEU,1,174.0,2016-10-06,2016-10-06
86960069466965372,86960069466965372,,NLD,1,750.0,2017-08-20,2017-08-20
90346851652799572,90346851652799572,,SVK,1,525.0,2017-03-20,2017-03-20
90575475408034381,90575475408034381,,GBR,4,643.5,2015-11-20,2015-11-20
96500267249620994,96500267249620994,,JPN,2,351.12,2015-09-19,2015-09-19
99350061495762738,99350061495762738,,BDI,1,92.0,2016-05-10,2016-05-10
101916071463198191,101916071463198191,,CZE,1,360.0,2017-08-21,2017-08-21
102435365076724956,102435365076724956,,IRL,5,1122.72,2015-09-24,2015-09-24
102570452765794730,102570452765794730,,GBR,4,1290.0,2017-04-05,2017-04-06
102917100713576414,102917100713576414,,PRT,1,75.0,2017-06-16,2017-06-16
106583124329192634,106583124329192634,,DNK,1,97.0,2017-03-29,2017-03-29
106683794892014979,106683794892014979,,PRT,3,1040.0,2017-05-14,2017-05-14
109861825740826844,109861825740826844,,PRT,4,420.8,2016-09-13,2017-05-23
110921207668647973,110921207668647973,,CHN,1,30.0,2015-10-05,2015-10-05
114622521505126648,114622521505126648,,GBR,11,4813.9,2015-07-20,2016-09-11
115390980095490579,115390980095490579,,UNK,1,35.0,2015-11-25,2015-11-25
116515192169684995,116515192169684995,,ROU,1,690.41,2015-08-28,2015-08-28
122453793942682154,122453793942682154,,PRT,9,659.0,2015-11-12,2016-12-14
127513382513039404,127513382513039404,,GBR,2,1603.08,2016-09-12,2017-08-10
127602887319238357,127602887319238357,,PRT,5,176.8,2016-03-03,2017-03-09
128297547856169404,128297547856169404,,THA,26,11833.6,2016-02-07,2017-08-14
129232007353637085,129232007353637085,,GBR,1,825.03,2015-12-05,2015-12-05
129422716274293450,129422716274293450,,ESP,1,432.0,2016-09-13,2016-09-13
129433475619836264,129433475619836264,,AUT,1,424.32,2016-05-11,2016-05-11
131521131791298668,131521131791298668,,PRT,1,0.0,2016-05-09,2016-05-09
133378823007809390,133378823007809390,,AUT,6,884.0,2016-04-20,2016-04-20
135069592967121775,135069592967121775,,PRT,15,3415.0,2016-06-06,2016-06-09
137090751664511969,137090751664511969,,CZE,1,1074.97,2015-11-14,2015-11-14
137250497734541111,137250497734541111,,ITA,1,100.0,2015-10-15,2015-10-15
141032544551959713,141032544551959713,,PRT,1,35.0,2017-03-09,2017-03-09
142154244686402196,142154244686402196,,ESP,4,1765.0,2015-07-10,2015-12-06
142461470219204198,142461470219204198,,JAM,1,115.0,2017-04-28,2017-04-28
143409543058588281,143409543058588281,,ITA,1,1671.74,2017-07-13,2017-07-13
146646027576569180,146646027576569180,,RUS,1,255.0,2016-08-19,2016-08-19
146992166601709961,146992166601709961,,PRT,1,196.0,2015-09-22,2015-09-22
147444098222355730,147444098222355730,,GBR,64,12186.99,2016-04-18,2016-10-24
150721181183062217,150721181183062217,,IRL,2,377.64,2015-10-11,2016-06-26
154492639693471295,154492639693471295,,HRV,3,721.4,2016-03-24,2017-04-15
154524778354088143,154524778354088143,,UNK,1,37.0,2015-10-06,2015-10-06
155993893279501798,155993893279501798,,CHE,1,120.0,2017-06-06,2017-06-06
157000349167706327,157000349167706327,,FRA,1,250.0,2016-10-06,2016-10-06
157902606260300489,157902606260300489,,FRA,2,750.0,2017-05-06,2017-06-05
161543289425486675,161543289425486675,,ESP,6,796.0,2016-02-29,2016-07-20
162169736706794774,162169736706794774,,AUS,22,7001.900000000001,2016-02-23,2017-08-20
165766443851661619,165766443851661619,,USA,1,48.0,2017-02-19,2017-02-19
166044027293174652,166044027293174652,,FRA,2,632.6999999999999,2016-09-18,2017-07-03
166725266889186761,166725266889186761,,USA,1,660.0,2016-11-01,2016-11-01
170804762645521761,170804762645521761,,DEU,2,1347.68,2016-05-03,2017-06-10
170854668812991599,170854668812991599,,MEX,1,220.0,2016-05-24,2016-05-24
171301144107060652,171301144107060652,,AGO,1,195.0,2017-01-18,2017-01-18
171395542615174088,171395542615174088,,ESP,2,2697.1000000000004,2017-07-29,2017-07-29
171904971093437046,171904971093437046,,PRT,2,60.6,2016-03-09,2017-02-13
173477263262531194,173477263262531194,,PRT,1,65.0,2017-03-15,2017-03-15
175143902312177385,175143902312177385,,ESP,1,375.0,2017-08-21,2017-08-21
175678143693634075,175678143693634075,,DEU,4,414.55,2015-09-23,2015-09-27
176429376667715691,176429376667715691,,NLD,5,1725.5,2016-04-09,2016-09-03
180136349774210763,180136349774210763,,PRT,4,520.0,2017-01-25,2017-01-26
181202843298993030,181202843298993030,,RUS,1,52.0,2016-10-18,2016-10-18
182172246560800271,182172246560800271,,PRT,1,225.0,2017-08-07,2017-08-07
184477252696063538,184477252696063538,,PRT,10,683.0,2016-06-29,2017-05-31
185401284335744535,185401284335744535,,GEO,1,2371.1800000000003,2017-08-07,2017-08-07
186303697840696135,186303697840696135,,GBR,30,9723.23,2017-05-20,2017-08-26
190907013727234234,190907013727234234,,NGA,1,58.31,2017-01-21,2017-01-21
195493074914194876,195493074914194876,,MCO,1,146.92,2017-02-10,2017-02-10
196769483258934963,196769483258934963,,PRT,1,94.35,2016-03-07,2016-03-07
196915242227070074,196915242227070074,,PRT,236,1369.0,2015-07-04,2017-08-24
196998465615369503,196998465615369503,,IDN,1,165.0,2017-01-16,2017-01-16
197720264817326674,197720264817326674,,ARG,1,220.0,2016-05-24,2016-05-24
199212587210043434,199212587210043434,,ITA,14,4971.49,2015-07-19,2017-07-26
200078038863658689,200078038863658689,,TWN,1,440.0,2017-05-13,2017-05-13
201687255573929214,201687255573929214,,PRT,1,285.6,2016-11-06,2016-11-06
204047233858344361,204047233858344361,,JPN,1,140.8,2017-06-28,2017-06-28
204649528248765458,204649528248765458,,PRT,3,405.0,2016-02-19,2016-02-19
206666000732660990,206666000732660990,,CHE,3,1174.0,2016-03-04,2017-07-16
206831294367723193,206831294367723193,,POL,11,10631.11,2017-05-29,2017-08-24
206839887945878500,206839887945878500,,BEL,3,365.5,2017-06-07,2017-08-01
207178468123624808,207178468123624808,,BLR,1,208.0,2015-12-26,2015-12-26
207395544715310702,207395544715310702,,PRT,3,224.0,2017-02-21,2017-02-21
207846325099259698,207846325099259698,,ALB,2,527.78,2015-12-18,2016-11-30
209844276798174168,209844276798174168,,PRT,1,30.0,2017-01-11,2017-01-11
214034669382113817,214034669382113817,,POL,1,723.2,2015-08-08,2015-08-08
214578417638979848,214578417638979848,,DZA,1,280.0,2015-11-23,2015-11-23
214945394203649344,214945394203649344,,PRT,1,30.0,2016-11-09,2016-11-09
215857019307589308,215857019307589308,,JOR,1,213.0,2016-01-19,2016-01-19
216210401924407980,216210401924407980,,ARG,1,120.0,2017-01-27,2017-01-27
218884168485480329,218884168485480329,,NLD,5,2999.5,2016-04-11,2016-08-10
219305177752128085,219305177752128085,,FRA,1,1479.0,2016-08-21,2016-08-21
219454177312276835,219454177312276835,,UNK,1,224.0,2015-10-22,2015-10-22
224879847291235917,224879847291235917,,BGR,1,267.29999999999995,2017-05-30,2017-05-30
226670082357519249,226670082357519249,,LVA,1,201.6,2016-09-29,2016-09-29
227770316180147816,227770316180147816,,PRT,1,129.0,2017-07-03,2017-07-03
228237994070993358,228237994070993358,,BEL,1,75.0,2015-11-21,2015-11-21
228419472046181261,228419472046181261,,ESP,120,41417.159999999996,2015-08-21,2017-07-24
228628454383857425,228628454383857425,,GBR,1,65.0,2017-02-23,2017-02-23
232430795515963958,232430795515963958,,GBR,356,237672.47,2015-07-02,2017-08-24
233305702091418018,233305702091418018,,NLD,3,4013.95,2015-07-06,2015-08-17
235034579465755794,235034579465755794,,ARE,1,900.0,2016-07-27,2016-07-27
237147191627813373,237147191627813373,,PRT,11,4222.98,2015-09-30,2016-08-26
237426193571411963,237426193571411963,,JPN,1,142.0,2016-01-19,2016-01-19
241752839160540579,241752839160540579,,GBR,3,781.6,2015-09-08,2015-09-20
247696159061221176,247696159061221176,,USA,3,702.09,2015-08-28,2016-08-03
249439617303319892,249439617303319892,,PRT,3,510.0,2015-10-19,2015-10-19
249555941143201916,249555941143201916,,PRT,1,35.0,2017-02-16,2017-02-16
249821563957134775,249821563957134775,,FRA,33,11394.0,2015-12-09,2016-12-05
250838664575006682,250838664575006682,,GBR,5,1984.6999999999998,2015-12-31,2016-05-26
254290139746404067,254290139746404067,,IRL,6,3885.6,2015-09-30,2017-08-26
255328286484071428,255328286484071428,,ITA,1,260.0,2015-10-20,2015-10-20
258418478112109727,258418478112109727,,SGP,2,264.0,2015-12-03,2015-12-03
258570984295796119,258570984295796119,,TUN,1,0.0,2016-10-11,2016-10-11
263135267042501230,263135267042501230,,PRT,1,290.28000000000003,2017-03-20,2017-03-20
264528005909459018,264528005909459018,,PRT,1,64.0,2016-01-25,2016-01-25
265626112459523481,265626112459523481,,PRT,1,42.0,2016-10-25,2016-10-25
267578165438701414,267578165438701414,,USA,1,224.0,2016-09-26,2016-09-26
269833876798362350,269833876798362350,,BEL,99,37593.13,2015-08-02,2017-07-29
271012903922223384,271012903922223384,,ZWE,2,619.2,2017-08-15,2017-08-23
274296934671342347,274296934671342347,,PRT,1,0.0,2017-08-08,2017-08-08
275637003433697681,275637003433697681,,LTU,16,7596.6,2015-09-30,2017-04-16
277825686112372766,277825686112372766,,GBR,1,520.0,2017-05-15,2017-05-15
281041256203375262,281041256203375262,,ESP,10,3047.17,2015-09-01,2015-09-22
281763579940530379,281763579940530379,,PRT,1,0.0,2016-11-12,2016-11-12
281859577719703018,281859577719703018,,FRA,2,1117.6599999999999,2017-07-21,2017-08-05
282506562928026682,282506562928026682,,AUS,3,865.1,2016-05-24,2016-08-30
287645051029614119,287645051029614119,,POL,1,106.65,2016-09-26,2016-09-26
288448546341362086,288448546341362086,,BGD,9,5101.9400000000005,2016-04-16,2017-07-30
292317197122577470,292317197122577470,,IND,6,1205.0,2015-11-23,2015-11-23
293194528944000558,293194528944000558,,FRA,3,1173.5,2017-05-15,2017-06-20
294865440220957517,294865440220957517,,NLD,5,1032.71,2015-11-03,2016-02-28
299259307696268620,299259307696268620,,DZA,1,94.0,2017-06-19,2017-06-19
300249749195356052,300249749195356052,,UNK,7,300.0,2016-01-13,2017-02-22
300648206765042103,300648206765042103,,ITA,1,439.2,2015-08-18,2015-08-18
301841345433493080,301841345433493080,,GBR,1,239.40000000000003,2017-05-07,2017-05-07
304808077174424116,304808077174424116,,PRT,4,5163.64,2017-08-06,2017-08-29
305091857077275883,305091857077275883,,FRA,24,6902.0,2017-02-17,2017-07-28
308120843951549702,308120843951549702,,DOM,1,496.0,2017-04-19,2017-04-19
308602960363498675,308602960363498675,,PRT,3,261.0,2015-10-19,2017-08-03
308740991244702281,308740991244702281,,ITA,1,79.0,2016-02-13,2016-02-13
308857816686147027,308857816686147027,,POL,1,162.0,2016-05-12,2016-05-12
309893700967852471,309893700967852471,,ESP,2,726.3,2015-08-26,2015-09-19
310774456335229035,310774456335229035,,RUS,14,15666.14,2015-07-09,2017-07-17
313692456768354522,313692456768354522,,ESP,82,36837.98,2015-07-01,2017-08-26
314452695898450907,314452695898450907,,FRA,48,26068.01,2015-07-12,2017-08-18
315467230457510447,315467230457510447,,IRN,1,402.01,2017-04-04,2017-04-04
317964220326244814,317964220326244814,,CHN,832,299222.46,2015-08-06,2017-08-31
319266137925282104,319266137925282104,,PRT,2,80.0,2017-03-20,2017-04-03
320272494475170391,320272494475170391,,IRL,1,584.1,2015-09-13,2015-09-13
322424940053092494,322424940053092494,,PRT,1,198.0,2016-09-30,2016-09-30
322434404103430551,322434404103430551,,DEU,1,210.0,2015-11-23,2015-11-23
324760282161562167,324760282161562167,,PRT,2,0.0,2016-10-28,2017-01-21
324959474634054573,324959474634054573,,UNK,2,376.0,2017-01-27,2017-03-04
326672376981755963,326672376981755963,,PRT,5,376.0,2017-01-20,2017-06-12
326981157146563317,326981157146563317,,PRT,57,22256.35,2015-08-01,2017-08-17
330442612422705286,330442612422705286,,SVK,2,360.0,2017-01-25,2017-01-25
335857225573046203,335857225573046203,,DNK,1,128.0,2017-02-07,2017-02-07
336302346342004432,336302346342004432,,IRL,1,864.5,2017-08-24,2017-08-24
340276778477764714,340276778477764714,,ESP,5,2298.76,2016-12-06,2017-08-12
340315048623102389,340315048623102389,,DEU,59,24704.77,2016-01-25,2017-08-20
341876792191766563,341876792191766563,,ESP,2,328.02,2015-12-05,2015-12-05
342807305878418175,342807305878418175,,PRT,2,222.0,2016-12-06,2016-12-08
343591578819407459,343591578819407459,,GBR,22,11476.54,2015-07-05,2015-12-26
343721020406304970,343721020406304970,,PRT,1,40.0,2016-03-20,2016-03-20
346156223784165552,346156223784165552,,ESP,8,1465.0,2016-11-20,2016-11-21
346757155436480064,346757155436480064,,BLR,10,5063.91,2015-09-05,2017-08-31
352774715116723695,352774715116723695,,CHE,1,140.0,2017-06-26,2017-06-26
354772691085137901,354772691085137901,,UNK,1,70.0,2017-03-28,2017-03-28
355982318583054518,355982318583054518,,LTU,1,244.64,2016-02-11,2016-02-11
356462251410075807,356462251410075807,,DNK,1,100.0,2016-11-29,2016-11-29
356723667778671346,356723667778671346,,GBR,300,125633.72,2015-08-28,2017-08-28
356843830666980056,356843830666980056,,JAM,1,352.0,2017-02-13,2017-02-13
357568048274504503,357568048274504503,,MAR,2,1109.2,2016-08-19,2016-09-15
359312139385917983,359312139385917983,,PRT,2,134.0,2015-09-09,2016-05-11
362708114784037905,362708114784037905,,PRT,1,34.4,2016-03-28,2016-03-28
363127707074530193,363127707074530193,,CZE,1,525.0,2015-10-18,2015-10-18
369224330068048064,369224330068048064,,CAF,1,42.0,2017-02-15,2017-02-15
369271642773725124,369271642773725124,,BRA,1,158.0,2015-12-17,2015-12-17
369782364915907652,369782364915907652,,HUN,2,465.15,2015-09-28,2016-10-21
370380597699428162,370380597699428162,,PRT,1,1194.2,2016-06-22,2016-06-22
370825072955483751,370825072955483751,,PRT,436,223387.8,2015-07-01,2017-08-31
372492335762839079,372492335762839079,,ESP,1,206.0,2017-03-28,2017-03-28
374233381762555876,374233381762555876,,ESP,2,0.0,2017-07-27,2017-08-30
375778148886045510,375778148886045510,,CHN,2,297.65999999999997,2017-05-26,2017-08-30
377614747616311574,377614747616311574,,PRT,7,893.0,2015-12-03,2016-04-15
377874499402044529,377874499402044529,,PRT,1,35.0,2017-03-15,2017-03-15
381567248296246502,381567248296246502,,CHE,1,300.0,2015-11-23,2015-11-23
381836542660833341,381836542660833341,,USA,2,629.0,2016-03-20,2017-08-19
383804757680797225,383804757680797225,,PRT,5,295.0,2016-02-01,2017-01-09
384556331171986523,384556331171986523,,ESP,1,166.5,2017-08-30,2017-08-30
385834828891315385,385834828891315385,,FIN,1,58.0,2016-03-04,2016-03-04
386610334004437577,386610334004437577,,PRT,7,1527.0,2017-05-28,2017-07-25
387214729918603423,387214729918603423,,GBR,2,331.0,2015-08-16,2016-02-01
388409322533167324,388409322533167324,,BEL,8,1986.0,2016-03-31,2016-10-13
389561201112364746,389561201112364746,,PRT,7,6735.54,2015-07-07,2016-10-15
390275344355293146,390275344355293146,,AUT,1,25.0,2016-03-13,2016-03-13
390715941569776456,390715941569776456,,PRT,1,110.0,2016-05-03,2016-05-03
392635851934062092,392635851934062092,,DEU,8,3725.9799999999996,2016-03-12,2017-08-10
396235084794107540,396235084794107540,,ESP,1,300.0,2015-11-10,2015-11-10
396516345381605226,396516345381605226,,PRT,3,476.5,2016-02-06,2016-03-12
403175984377219518,403175984377219518,,GBR,36,27315.73,2015-07-07,2017-06-27
403654920615370880,403654920615370880,,UNK,3,275.0,2017-02-15,2017-04-17
405844165528256824,405844165528256824,,BGR,39,16779.61,2015-08-06,2017-08-27
410720091854282132,410720091854282132,,BEL,1,123.0,2015-10-05,2015-10-05
411294349146216278,411294349146216278,,IRN,1,133.2,2016-01-07,2016-01-07
413292723334850203,413292723334850203,,PRT,1,48.0,2015-10-09,2015-10-09
414641775166810400,414641775166810400,,PRT,1,0.0,2016-06-29,2016-06-29
416447074287559627,416447074287559627,,SWE,1,279.96,2016-02-08,2016-02-08
416861195508029875,416861195508029875,,PRT,6,294.0,2015-10-19,2016-12-21
418498714492702195,418498714492702195,,PRT,2,92.5,2016-05-16,2016-11-02
418666023274928089,418666023274928089,,IND,12,3834.5,2015-09-22,2017-06-08
418971349843873949,418971349843873949,,ZAF,1,280.0,2015-11-23,2015-11-23
420848041378573755,420848041378573755,,PRT,1,0.0,2016-02-27,2016-02-27
422382543563130092,422382543563130092,,PRT,38,0.0,2015-09-20,2017-07-05
422639124544781612,422639124544781612,,PRT,1,420.0,2016-07-11,2016-07-11
422908539765099832,422908539765099832,,PRT,1,295.2,2016-07-15,2016-07-15
424833650769376670,424833650769376670,,ITA,38,11439.9,2015-09-30,2016-09-28
424908961398682956,424908961398682956,,TUR,1,150.0,2016-11-21,2016-11-21
426205088055271835,426205088055271835,,AGO,2,855.0,2016-11-14,2016-11-14
428193990107284831,428193990107284831,,BEL,3,305.0,2017-04-26,2017-06-27
429200126961148405,429200126961148405,,PRT,2,54.0,2016-11-16,2017-04-03
429558231520115128,429558231520115128,,ROU,197,89847.5,2015-07-28,2017-08-29
430591491363245428,430591491363245428,,GBR,1,400.0,2016-11-18,2016-11-18
430948566511053356,430948566511053356,,SRB,1,280.0,2017-05-09,2017-05-09
431138486631624396,431138486631624396,,PRT,2,99.0,2015-08-11,2015-08-11
432048230803590769,432048230803590769,,ARG,1,308.84,2015-10-31,2015-10-31
432255802152556814,432255802152556814,,ESP,1,390.0,2017-05-16,2017-05-16
432553826972020293,432553826972020293,,AUS,1,195.2,2016-08-12,2016-08-12
433832423685023565,433832423685023565,,JPN,2,412.25,2016-09-06,2016-09-27
440029755852434795,440029755852434795,,PRT,7,1791.1,2015-10-07,2016-09-08
440346751041399164,440346751041399164,,ISR,2,765.3,2016-09-28,2016-09-28
440461008574457929,440461008574457929,,COL,4,1124.8,2016-03-13,2017-06-15
442393863239459298,442393863239459298,,SWE,1,30.67,2016-03-28,2016-03-28
443593478970796035,443593478970796035,,GBR,3,179.91,2016-11-07,2017-03-06
445544101267642392,445544101267642392,,DEU,1,259.65,2016-03-09,2016-03-09
446534066689587029,446534066689587029,,PRT,4,548.0,2016-09-28,2016-09-28
446630065159171149,446630065159171149,,LTU,5,5878.25,2016-11-02,2017-07-11
447343195204308750,447343195204308750,,PRT,9,7478.38,2016-07-25,2017-08-27
448226436749307510,448226436749307510,,BRA,2,258.0,2017-01-09,2017-03-29
450479325235870001,450479325235870001,,MAR,1,669.0,2016-04-18,2016-04-18
451217971577949095,451217971577949095,,PRT,2,0.0,2016-11-07,2016-11-07
451925641137171600,451925641137171600,,KAZ,1,173.0,2017-07-03,2017-07-03
454172821945373176,454172821945373176,,ESP,2,178.0,2016-10-03,2016-10-03
455470019203009820,455470019203009820,,CHE,1,711.5500000000001,2015-08-22,2015-08-22
455677867299801595,455677867299801595,,GBR,6,1110.05,2015-09-17,2015-10-15
457089596596526409,457089596596526409,,DEU,24,7758.200000000001,2015-09-05,2017-05-14
459424126304773301,459424126304773301,,ESP,2,607.0,2017-03-13,2017-03-14
460193656158572115,460193656158572115,,DEU,1,338.01,2017-05-17,2017-05-17
460877164740810273,460877164740810273,,OMN,1,237.16,2015-10-03,2015-10-03
463072574041245250,463072574041245250,,PRT,27,19060.41,2015-07-02,2017-07-17
468462775794218431,468462775794218431,,FRA,2,241.0,2016-09-04,2016-11-04
468713315685830690,468713315685830690,,PRI,1,58.0,2015-10-24,2015-10-24
469599514306439504,469599514306439504,,AUS,13,4801.71,2015-09-16,2017-08-19
471904620940300584,471904620940300584,,ITA,2,640.0,2017-04-05,2017-04-05
472212829748791106,472212829748791106,,ESP,1,552.0,2016-08-21,2016-08-21
473112941120651431,473112941120651431,,SGP,1,225.0,2015-11-23,2015-11-23
473236369613439189,473236369613439189,,BRA,1,352.0,2016-09-30,2016-09-30
475844162570014094,475844162570014094,,PRT,63,5072.3,2015-07-08,2017-08-02
477215350096082605,477215350096082605,,USA,1,142.2,2017-08-16,2017-08-16
480091894712296150,480091894712296150,,KOR,1,268.6,2016-02-11,2016-02-11
481559488479092168,481559488479092168,,PRT,244,92070.58,2015-07-06,2017-08-28
482127773273539621,482127773273539621,,RUS,1,241.99,2016-02-24,2016-02-24
483406771635414095,483406771635414095,,TUR,4,1050.0,2015-10-06,2015-10-06
484759462569271772,484759462569271772,,MOZ,6,1935.02,2015-08-10,2017-07-15
486754148591160554,486754148591160554,,PRT,61,41803.58,2015-07-06,2017-08-30
491121172794367760,491121172794367760,,FRA,1,78.0,2017-03-15,2017-03-15
491944146012985895,491944146012985895,,ALB,1,150.0,2016-11-21,2016-11-21
492965769462799928,492965769462799928,,PRT,4,180.0,2015-11-04,2017-06-01
496857871149897828,496857871149897828,,LTU,2,1283.31,2017-07-02,2017-08-22
498373635004516403,498373635004516403,,IRL,1,338.01,2017-07-26,2017-07-26
503573525123142566,503573525123142566,,DEU,3,430.0,2017-04-26,2017-06-27
503803621800067671,503803621800067671,,PRT,7,772.0,2016-02-01,2017-07-02
504786836450259983,504786836450259983,,ESP,1,50.0,2016-10-20,2016-10-20
504974391717823014,504974391717823014,,USA,2,313.2,2016-08-29,2016-10-16
508274070405444459,508274070405444459,,PRT,2,204.0,2016-05-08,2016-05-08
510051602509743124,510051602509743124,,LTU,2,528.21,2015-10-19,2016-11-11
511941229424508571,511941229424508571,,GBR,8,5960.43,2015-07-17,2015-09-30
512291167179825802,512291167179825802,,PRT,25,8378.25,2015-10-26,2015-11-13
517230178021141764,517230178021141764,,PRT,2,279.0,2016-07-14,2016-07-18
517965573187943854,517965573187943854,,PRT,1,587.5,2017-06-19,2017-06-19
518091647717151746,518091647717151746,,PRT,1,126.0,2016-10-29,2016-10-29
518858748614607007,518858748614607007,,PRT,1,535.5,2015-08-13,2015-08-13
521313510339924663,521313510339924663,,PRT,1,0.0,2015-10-26,2015-10-26
521626492434094295,521626492434094295,,SWE,1,834.75,2015-08-15,2015-08-15
522935712020271130,522935712020271130,,GBR,2,611.04,2015-12-28,2015-12-28
525088880568437562,525088880568437562,,ESP,2,260.0,2017-05-08,2017-05-10
530322969548989540,530322969548989540,,PRT,12,3496.5099999999998,2015-07-20,2015-10-19
530568337937305801,530568337937305801,,PRT,4,477.99,2017-03-26,2017-03-27
531236243854403107,531236243854403107,,SVN,1,113.39999999999999,2016-11-11,2016-11-11
531358091683381845,531358091683381845,,ISR,1,267.29999999999995,2017-05-17,2017-05-17
531520221317245079,531520221317245079,,NLD,1,190.0,2015-10-14,2015-10-14
532287343605080959,532287343605080959,,ITA,1,220.0,2016-05-24,2016-05-24
536034059711727060,536034059711727060,,ROU,1,78.0,2017-01-12,2017-01-12
537585737378998111,537585737378998111,,PRT,4,2742.36,2016-02-25,2016-08-27
539286610718708068,539286610718708068,,FRA,1,863.46,2015-11-12,2015-11-12
542386197055767816,542386197055767816,,USA,3,262.6,2016-09-10,2017-03-10
542759978234372993,542759978234372993,,CYP,9,5475.0,2017-01-15,2017-01-18
543707039175554070,543707039175554070,,PRT,1,137.6,2016-02-29,2016-02-29
549612811987201532,549612811987201532,,UNK,2,77.0,2015-11-10,2016-10-18
549765816141252318,549765816141252318,,BEL,1,325.0,2015-10-18,2015-10-18
550682660786627856,550682660786627856,,GBR,10,1691.0,2015-10-18,2016-10-20
551797473745373429,551797473745373429,,PRT,1,633.99,2015-09-14,2015-09-14
552589822698089040,552589822698089040,,DEU,4,1550.0,2015-09-26,2016-02-06
