branch_id,date,occupancy_pct,occupancy_7day_avg,occupancy_30day_avg,total_rooms,occupied_rooms
2,2026-06-16,63.48,63.48,63.48,100,63
2,2026-06-17,59.15,59.15,59.15,100,59
2,2026-06-18,61.67,61.67,61.67,100,62
2,2026-06-19,67.7,67.7,67.7,100,68
2,2026-06-20,70.51,70.51,70.51,100,71
2,2026-06-21,75.84,75.84,75.84,100,76
2,2026-06-22,80.18,80.18,80.18,100,80
2,2026-06-23,70.8,70.8,70.8,100,71
2,2026-06-24,65.76,65.76,65.76,100,66
2,2026-06-25,61.69,61.69,61.69,100,62
2,2026-06-26,71.72,71.72,71.72,100,72
2,2026-06-27,67.73,67.73,67.73,100,68
2,2026-06-28,69.57,69.57,69.57,100,70
2,2026-06-29,68.93,68.93,68.93,100,69
2,2026-06-30,70.87,70.87,70.87,100,71
2,2026-07-01,75.64,75.64,75.64,100,76
2,2026-07-02,71.85,71.85,71.85,100,72
2,2026-07-03,70.34,70.34,70.34,100,70
2,2026-07-04,66.49,66.49,66.49,100,66
2,2026-07-05,63.5,63.5,63.5,100,63
2,2026-07-06,67.75,67.75,67.75,100,68
2,2026-07-07,68.9,68.9,68.9,100,69
2,2026-07-08,75.56,75.56,75.56,100,76
2,2026-07-09,68.34,68.34,68.34,100,68
2,2026-07-10,71.05,71.05,71.05,100,71
2,2026-07-11,64.41,64.41,64.41,100,64
2,2026-07-12,60.96,60.96,60.96,100,61
2,2026-07-13,61.14,61.14,61.14,100,61
2,2026-07-14,61.43,61.43,61.43,100,61
2,2026-07-15,72.22,72.22,72.22,100,72
2,2026-07-16,59.86,59.86,59.86,100,60
2,2026-07-17,65.99,65.99,65.99,100,66
2,2026-07-18,58.6,58.6,58.6,100,59
2,2026-07-19,65.6,65.6,65.6,100,66
2,2026-07-20,63.17,63.17,63.17,100,63
2,2026-07-21,60.85,60.85,60.85,100,61
2,2026-07-22,61.27,61.27,61.27,100,61
2,2026-07-23,58.87,58.87,58.87,100,59
2,2026-07-24,63.42,63.42,63.42,100,63
2,2026-07-25,60.07,60.07,60.07,100,60
2,2026-07-26,57.33,57.33,57.33,100,57
2,2026-07-27,57.56,57.56,57.56,100,58
2,2026-07-28,63.86,63.86,63.86,100,64
2,2026-07-29,70.06,70.06,70.06,100,70
2,2026-07-30,65.02,65.02,65.02,100,65
2,2026-07-31,64.57,64.57,64.57,100,65
2,2026-08-01,66.89,66.89,66.89,100,67
2,2026-08-02,71.68,71.68,71.68,100,72
2,2026-08-03,68.05,68.05,68.05,100,68
