branch_id,date,total_orders,items_sold,avg_order_value,total_revenue,breakfast_revenue,lunch_revenue,dinner_revenue,revenue_7day_avg
1,2026-07-21,114,191,27.64,3150.96,945.29,1102.84,1102.84,3150.96
1,2026-07-22,173,225,26.76,4629.48,1388.84,1620.32,1620.32,4629.48
1,2026-07-23,157,262,25.52,4006.64,1201.99,1402.32,1402.32,4006.64
1,2026-07-24,176,245,30.62,5389.12,1616.74,1886.19,1886.19,5389.12
1,2026-07-25,155,230,17.78,2755.9,826.77,964.56,964.56,2755.9
1,2026-07-26,113,190,15.83,1788.79,536.64,626.08,626.08,1788.79
1,2026-07-27,161,251,16.0,2576.0,772.8,901.6,901.6,2576.0
1,2026-07-28,143,211,24.29,3473.47,1042.04,1215.71,1215.71,3473.47
1,2026-07-29,190,260,18.08,3435.2,1030.56,1202.32,1202.32,3435.2
1,2026-07-30,128,158,29.64,3793.92,1138.18,1327.87,1327.87,3793.92
1,2026-07-31,121,199,22.14,2678.94,803.68,937.63,937.63,2678.94
1,2026-08-01,184,311,23.72,4364.48,1309.34,1527.57,1527.57,4364.48
1,2026-08-02,154,210,17.82,2744.28,823.28,960.5,960.5,2744.28
1,2026-08-03,162,222,24.0,3888.0,1166.4,1360.8,1360.8,3888.0
2,2026-05-06,144,244,32.19,4635.36,1390.61,1622.38,1622.38,4635.36
2,2026-05-07,113,137,27.22,3075.86,922.76,1076.55,1076.55,3075.86
2,2026-05-08,119,146,15.62,1858.78,557.63,650.57,650.57,1858.78
2,2026-05-09,145,247,26.8,3886.0,1165.8,1360.1,1360.1,3886.0
2,2026-05-10,134,191,30.69,4112.46,1233.74,1439.36,1439.36,4112.46
2,2026-05-11,159,226,26.94,4283.46,1285.04,1499.21,1499.21,4283.46
2,2026-05-12,170,238,22.18,3770.6,1131.18,1319.71,1319.71,3770.6
2,2026-05-13,119,163,29.34,3491.46,1047.44,1222.01,1222.01,3491.46
2,2026-05-14,158,254,34.65,5474.7,1642.41,1916.14,1916.14,5474.7
2,2026-05-15,162,206,24.36,3946.32,1183.9,1381.21,1381.21,3946.32
2,2026-05-16,113,195,16.19,1829.47,548.84,640.31,640.31,1829.47
2,2026-05-17,131,235,31.28,4097.68,1229.3,1434.19,1434.19,4097.68
2,2026-05-18,153,257,27.99,4282.47,1284.74,1498.86,1498.86,4282.47
2,2026-05-19,164,218,28.11,4610.04,1383.01,1613.51,1613.51,4610.04
2,2026-05-20,111,183,21.03,2334.33,700.3,817.02,817.02,2334.33
2,2026-05-21,152,259,25.42,3863.84,1159.15,1352.34,1352.34,3863.84
2,2026-05-22,135,171,27.55,3719.25,1115.77,1301.74,1301.74,3719.25
2,2026-05-23,106,166,33.04,3502.24,1050.67,1225.78,1225.78,3502.24
2,2026-05-24,113,145,21.08,2382.04,714.61,833.71,833.71,2382.04
2,2026-05-25,110,175,17.97,1976.7,593.01,691.84,691.84,1976.7
2,2026-05-26,128,167,16.83,2154.24,646.27,753.98,753.98,2154.24
2,2026-05-27,99,125,15.91,1575.09,472.53,551.28,551.28,1575.09
2,2026-05-28,141,200,19.0,2679.0,803.7,937.65,937.65,2679.0
2,2026-05-29,149,207,23.38,3483.62,1045.09,1219.27,1219.27,3483.62
2,2026-05-30,127,198,19.84,2519.68,755.9,881.89,881.89,2519.68
2,2026-05-31,136,206,31.38,4267.68,1280.3,1493.69,1493.69,4267.68
2,2026-06-01,164,276,18.81,3084.84,925.45,1079.69,1079.69,3084.84
2,2026-06-02,144,200,21.87,3149.28,944.78,1102.25,1102.25,3149.28
2,2026-06-03,107,133,32.68,3496.76,1049.03,1223.87,1223.87,3496.76
2,2026-06-04,130,212,31.22,4058.6,1217.58,1420.51,1420.51,4058.6
2,2026-06-05,124,172,21.84,2708.16,812.45,947.86,947.86,2708.16
2,2026-06-06,109,161,29.3,3193.7,958.11,1117.79,1117.79,3193.7
2,2026-06-07,110,141,19.69,2165.9,649.77,758.06,758.06,2165.9
2,2026-06-08,100,128,34.03,3403.0,1020.9,1191.05,1191.05,3403.0
2,2026-06-09,115,166,34.37,3952.55,1185.77,1383.39,1383.39,3952.55
2,2026-06-10,140,240,23.9,3346.0,1003.8,1171.1,1171.1,3346.0
2,2026-06-11,142,178,15.25,2165.5,649.65,757.92,757.92,2165.5
2,2026-06-12,137,204,33.08,4531.96,1359.59,1586.19,1586.19,4531.96
2,2026-06-13,143,182,15.26,2182.18,654.65,763.76,763.76,2182.18
2,2026-06-14,140,195,17.8,2492.0,747.6,872.2,872.2,2492.0
2,2026-06-15,111,190,32.25,3579.75,1073.92,1252.91,1252.91,3579.75
2,2026-06-16,131,224,33.21,4350.51,1305.15,1522.68,1522.68,4350.51
2,2026-06-17,111,150,32.15,3568.65,1070.6,1249.03,1249.03,3568.65
2,2026-06-18,105,182,20.18,2118.9,635.67,741.62,741.62,2118.9
2,2026-06-19,111,172,34.34,3811.74,1143.52,1334.11,1334.11,3811.74
2,2026-06-20,168,257,29.19,4903.92,1471.18,1716.37,1716.37,4903.92
2,2026-06-21,163,291,20.67,3369.21,1010.76,1179.22,1179.22,3369.21
2,2026-06-22,177,279,17.46,3090.42,927.13,1081.65,1081.65,3090.42
2,2026-06-23,170,246,18.57,3156.9,947.07,1104.92,1104.92,3156.9
2,2026-06-24,111,165,16.25,1803.75,541.12,631.31,631.31,1803.75
2,2026-06-25,155,277,32.09,4973.95,1492.18,1740.88,1740.88,4973.95
2,2026-06-26,143,211,31.18,4458.74,1337.62,1560.56,1560.56,4458.74
2,2026-06-27,125,169,32.61,4076.25,1222.88,1426.69,1426.69,4076.25
2,2026-06-28,171,255,34.77,5945.67,1783.7,2080.98,2080.98,5945.67
2,2026-06-29,121,161,28.24,3417.04,1025.11,1195.96,1195.96,3417.04
2,2026-06-30,168,256,15.66,2630.88,789.26,920.81,920.81,2630.88
2,2026-07-01,126,216,19.67,2478.42,743.53,867.45,867.45,2478.42
2,2026-07-02,151,186,17.99,2716.49,814.95,950.77,950.77,2716.49
2,2026-07-03,148,195,26.67,3947.16,1184.15,1381.51,1381.51,3947.16
2,2026-07-04,121,199,24.55,2970.55,891.17,1039.69,1039.69,2970.55
2,2026-07-05,133,174,33.65,4475.45,1342.64,1566.41,1566.41,4475.45
2,2026-07-06,166,220,22.85,3793.1,1137.93,1327.58,1327.58,3793.1
2,2026-07-07,129,200,16.21,2091.09,627.33,731.88,731.88,2091.09
2,2026-07-08,123,184,15.48,1904.04,571.21,666.41,666.41,1904.04
2,2026-07-09,133,162,31.21,4150.93,1245.28,1452.83,1452.83,4150.93
2,2026-07-10,114,145,27.7,3157.8,947.34,1105.23,1105.23,3157.8
2,2026-07-11,138,229,18.82,2597.16,779.15,909.01,909.01,2597.16
2,2026-07-12,137,201,33.13,4538.81,1361.64,1588.58,1588.58,4538.81
2,2026-07-13,94,128,26.18,2460.92,738.28,861.32,861.32,2460.92
2,2026-07-14,142,193,27.16,3856.72,1157.02,1349.85,1349.85,3856.72
2,2026-07-15,157,252,33.41,5245.37,1573.61,1835.88,1835.88,5245.37
2,2026-07-16,117,188,16.01,1873.17,561.95,655.61,655.61,1873.17
2,2026-07-17,99,161,31.88,3156.12,946.84,1104.64,1104.64,3156.12
2,2026-07-18,99,157,34.56,3421.44,1026.43,1197.5,1197.5,3421.44
2,2026-07-19,129,192,20.54,2649.66,794.9,927.38,927.38,2649.66
2,2026-07-20,146,211,25.82,3769.72,1130.92,1319.4,1319.4,3769.72
2,2026-07-21,94,128,23.47,2206.18,661.85,772.16,772.16,2206.18
2,2026-07-22,134,179,16.37,2193.58,658.07,767.75,767.75,2193.58
2,2026-07-23,90,157,25.09,2258.1,677.43,790.33,790.33,2258.1
2,2026-07-24,128,156,32.91,4212.48,1263.74,1474.37,1474.37,4212.48
2,2026-07-25,107,172,18.14,1940.98,582.29,679.34,679.34,1940.98
2,2026-07-26,130,174,19.29,2507.7,752.31,877.7,877.7,2507.7
2,2026-07-27,96,142,25.93,2489.28,746.78,871.25,871.25,2489.28
2,2026-07-28,150,265,15.89,2383.5,715.05,834.22,834.22,2383.5
2,2026-07-29,158,280,19.92,3147.36,944.21,1101.58,1101.58,3147.36
2,2026-07-30,161,217,24.05,3872.05,1161.62,1355.22,1355.22,3872.05
2,2026-07-31,133,163,30.35,4036.55,1210.96,1412.79,1412.79,4036.55
2,2026-08-01,115,205,20.62,2371.3,711.39,829.96,829.96,2371.3
2,2026-08-02,161,258,18.24,2936.64,880.99,1027.82,1027.82,2936.64
2,2026-08-03,138,234,16.48,2274.24,682.27,795.98,795.98,2274.24
